Summary,Temperature (C),Date,Hour
Overcast,7.783333333,20.3.2007,16
Mostly Cloudy,7.666666667,20.3.2007,17
Mostly Cloudy,7.483333333,20.3.2007,18
Overcast,6.994444444,20.3.2007,19
Overcast,6.483333333,20.3.2007,20
Overcast,5.855555556,20.3.2007,21
Overcast,4.883333333,20.3.2007,22
Overcast,3.888888889,20.3.2007,23
Partly Cloudy,0.372222222,21.3.2007,0
Overcast,3.355555556,21.3.2007,1
Overcast,3.355555556,21.3.2007,2
Overcast,3.261111111,21.3.2007,3
Overcast,2.777777778,21.3.2007,4
Overcast,2.777777778,21.3.2007,5
Overcast,2.911111111,21.3.2007,6
Overcast,3.888888889,21.3.2007,7
Overcast,4.95,21.3.2007,8
Mostly Cloudy,6.072222222,21.3.2007,9
Partly Cloudy,7.683333333,21.3.2007,10
Mostly Cloudy,7.733333333,21.3.2007,11
Partly Cloudy,7.738888889,21.3.2007,12
Mostly Cloudy,7.755555556,21.3.2007,13
Partly Cloudy,7.733333333,21.3.2007,14
Mostly Cloudy,7.333333333,21.3.2007,15
Partly Cloudy,7.15,21.3.2007,16
Mostly Cloudy,6.061111111,21.3.2007,17
Mostly Cloudy,5.133333333,21.3.2007,18
Mostly Cloudy,3.933333333,21.3.2007,19
Partly Cloudy,2.8,21.3.2007,20
Clear,1.883333333,21.3.2007,21
Partly Cloudy,0.1,21.3.2007,22
Partly Cloudy,-0.477777778,21.3.2007,23
Partly Cloudy,4.711111111,22.3.2007,0
Partly Cloudy,-0.083333333,22.3.2007,1
Partly Cloudy,-0.616666667,22.3.2007,2
Partly Cloudy,-0.822222222,22.3.2007,3
Partly Cloudy,-2.144444444,22.3.2007,4
Clear,-1.144444444,22.3.2007,5
Clear,0.094444444,22.3.2007,6
Clear,2.761111111,22.3.2007,7
Partly Cloudy,5.05,22.3.2007,8
Mostly Cloudy,7.105555556,22.3.2007,9
Mostly Cloudy,7.805555556,22.3.2007,10
Mostly Cloudy,8.866666667,22.3.2007,11
Mostly Cloudy,9.927777778,22.3.2007,12
Partly Cloudy,11.0,22.3.2007,13
Partly Cloudy,10.95555556,22.3.2007,14
Partly Cloudy,8.061111111,22.3.2007,15
Partly Cloudy,7.411111111,22.3.2007,16
Partly Cloudy,7.266666667,22.3.2007,17
Mostly Cloudy,6.238888889,22.3.2007,18
Mostly Cloudy,6.205555556,22.3.2007,19
Partly Cloudy,6.133333333,22.3.2007,20
Clear,4.661111111,22.3.2007,21
Partly Cloudy,5.044444444,22.3.2007,22
Partly Cloudy,5.533333333,22.3.2007,23
Mostly Cloudy,4.161111111,23.3.2007,0
Mostly Cloudy,5.05,23.3.2007,1
Mostly Cloudy,5.072222222,23.3.2007,2
Overcast,4.527777778,23.3.2007,3
Overcast,5.05,23.3.2007,4
Overcast,6.066666667,23.3.2007,5
Overcast,5.15,23.3.2007,6
Overcast,5.116666667,23.3.2007,7
Overcast,6.138888889,23.3.2007,8
Overcast,6.083333333,23.3.2007,9
Overcast,7.177777778,23.3.2007,10
Overcast,7.161111111,23.3.2007,11
Overcast,7.638888889,23.3.2007,12
Overcast,8.805555556,23.3.2007,13
Overcast,8.805555556,23.3.2007,14
Overcast,8.655555556,23.3.2007,15
Overcast,7.811111111,23.3.2007,16
Overcast,7.833333333,23.3.2007,17
Overcast,9.477777778,23.3.2007,18
Overcast,7.227777778,23.3.2007,19
Breezy and Overcast,6.211111111,23.3.2007,20
Overcast,5.722222222,23.3.2007,21
Overcast,6.111111111,23.3.2007,22
Mostly Cloudy,5.044444444,23.3.2007,23
Partly Cloudy,5.516666667,24.3.2007,0
Mostly Cloudy,3.383333333,24.3.2007,1
Overcast,3.311111111,24.3.2007,2
Overcast,3.316666667,24.3.2007,3
Clear,2.805555556,24.3.2007,4
Overcast,3.844444444,24.3.2007,5
Overcast,3.822222222,24.3.2007,6
Mostly Cloudy,4.927777778,24.3.2007,7
Mostly Cloudy,4.977777778,24.3.2007,8
Mostly Cloudy,5.955555556,24.3.2007,9
Mostly Cloudy,6.066666667,24.3.2007,10
Overcast,6.111111111,24.3.2007,11
Overcast,7.094444444,24.3.2007,12
Overcast,7.644444444,24.3.2007,13
Overcast,8.683333333,24.3.2007,14
Mostly Cloudy,9.788888889,24.3.2007,15
Partly Cloudy,8.772222222,24.3.2007,16
Partly Cloudy,7.661111111,24.3.2007,17
Partly Cloudy,7.055555556,24.3.2007,18
Partly Cloudy,6.922222222,24.3.2007,19
Partly Cloudy,6.966666667,24.3.2007,20
Mostly Cloudy,6.905555556,24.3.2007,21
Mostly Cloudy,7.011111111,24.3.2007,22
Mostly Cloudy,7.472222222,24.3.2007,23
Clear,4.066666667,25.3.2007,0
Partly Cloudy,4.861111111,25.3.2007,1
Clear,3.305555556,25.3.2007,2
Partly Cloudy,1.544444444,25.3.2007,3
Partly Cloudy,1.266666667,25.3.2007,4
Partly Cloudy,1.2,25.3.2007,5
Partly Cloudy,4.005555556,25.3.2007,6
Partly Cloudy,5.672222222,25.3.2007,7
Partly Cloudy,9.861111111,25.3.2007,8
Partly Cloudy,11.98333333,25.3.2007,9
Partly Cloudy,12.77777778,25.3.2007,10
Mostly Cloudy,13.91111111,25.3.2007,11
Partly Cloudy,13.99444444,25.3.2007,12
Partly Cloudy,15.01666667,25.3.2007,13
Partly Cloudy,14.99444444,25.3.2007,14
Mostly Cloudy,15.01666667,25.3.2007,15
Mostly Cloudy,12.89444444,25.3.2007,16
Partly Cloudy,11.10555556,25.3.2007,17
Partly Cloudy,9.927777778,25.3.2007,18
Partly Cloudy,7.844444444,25.3.2007,19
Clear,7.266666667,25.3.2007,20
Clear,6.388888889,25.3.2007,21
Clear,8.261111111,25.3.2007,22
Clear,6.088888889,25.3.2007,23
Clear,3.511111111,26.3.2007,0
Clear,2.85,26.3.2007,1
Clear,1.25,26.3.2007,2
Clear,2.05,26.3.2007,3
Clear,1.761111111,26.3.2007,4
Partly Cloudy,2.766666667,26.3.2007,5
Partly Cloudy,4.977777778,26.3.2007,6
Partly Cloudy,8.772222222,26.3.2007,7
Clear,11.01111111,26.3.2007,8
Clear,12.01111111,26.3.2007,9
Partly Cloudy,12.8,26.3.2007,10
Mostly Cloudy,12.89444444,26.3.2007,11
Mostly Cloudy,12.83333333,26.3.2007,12
Partly Cloudy,12.73888889,26.3.2007,13
Mostly Cloudy,8.155555556,26.3.2007,14
Mostly Cloudy,10.70555556,26.3.2007,15
Partly Cloudy,11.25,26.3.2007,16
Partly Cloudy,10.04444444,26.3.2007,17
Mostly Cloudy,7.988888889,26.3.2007,18
Mostly Cloudy,7.688888889,26.3.2007,19
Mostly Cloudy,8.011111111,26.3.2007,20
Partly Cloudy,6.455555556,26.3.2007,21
Partly Cloudy,5.827777778,26.3.2007,22
Clear,4.277777778,26.3.2007,23
Partly Cloudy,5.088888889,27.3.2007,0
Partly Cloudy,4.305555556,27.3.2007,1
Clear,4.211111111,27.3.2007,2
Clear,2.261111111,27.3.2007,3
Partly Cloudy,1.083333333,27.3.2007,4
Clear,1.061111111,27.3.2007,5
Partly Cloudy,4.672222222,27.3.2007,6
Partly Cloudy,7.611111111,27.3.2007,7
Partly Cloudy,8.911111111,27.3.2007,8
Partly Cloudy,10.05,27.3.2007,9
Partly Cloudy,11.17777778,27.3.2007,10
Partly Cloudy,12.28888889,27.3.2007,11
Partly Cloudy,12.31666667,27.3.2007,12
Partly Cloudy,12.84444444,27.3.2007,13
Partly Cloudy,12.89444444,27.3.2007,14
Clear,12.85555556,27.3.2007,15
Clear,11.25,27.3.2007,16
Partly Cloudy,10.0,27.3.2007,17
Partly Cloudy,7.55,27.3.2007,18
Partly Cloudy,5.994444444,27.3.2007,19
Partly Cloudy,6.972222222,27.3.2007,20
Mostly Cloudy,5.488888889,27.3.2007,21
Partly Cloudy,5.372222222,27.3.2007,22
Partly Cloudy,4.333333333,27.3.2007,23
Mostly Cloudy,7.4,28.3.2007,0
Partly Cloudy,1.833333333,28.3.2007,1
Partly Cloudy,2.25,28.3.2007,2
Partly Cloudy,2.011111111,28.3.2007,3
Partly Cloudy,1.3,28.3.2007,4
Partly Cloudy,1.322222222,28.3.2007,5
Mostly Cloudy,5.783333333,28.3.2007,6
Mostly Cloudy,8.866666667,28.3.2007,7
Partly Cloudy,10.04444444,28.3.2007,8
Partly Cloudy,12.11666667,28.3.2007,9
Partly Cloudy,12.8,28.3.2007,10
Partly Cloudy,13.91111111,28.3.2007,11
Partly Cloudy,12.97777778,28.3.2007,12
Mostly Cloudy,12.78333333,28.3.2007,13
Overcast,11.19444444,28.3.2007,14
Overcast,10.97777778,28.3.2007,15
Mostly Cloudy,11.05,28.3.2007,16
Breezy and Overcast,11.0,28.3.2007,17
Overcast,10.75,28.3.2007,18
Overcast,9.866666667,28.3.2007,19
Overcast,9.844444444,28.3.2007,20
Overcast,8.833333333,28.3.2007,21
Mostly Cloudy,8.772222222,28.3.2007,22
Mostly Cloudy,8.311111111,28.3.2007,23
Mostly Cloudy,6.85,29.3.2007,0
Mostly Cloudy,7.177777778,29.3.2007,1
Overcast,7.161111111,29.3.2007,2
Overcast,5.561111111,29.3.2007,3
Overcast,6.044444444,29.3.2007,4
Overcast,5.027777778,29.3.2007,5
Mostly Cloudy,6.066666667,29.3.2007,6
Mostly Cloudy,7.25,29.3.2007,7
Mostly Cloudy,8.916666667,29.3.2007,8
Mostly Cloudy,9.888888889,29.3.2007,9
Partly Cloudy,11.03888889,29.3.2007,10
Partly Cloudy,12.10555556,29.3.2007,11
Partly Cloudy,12.65,29.3.2007,12
Partly Cloudy,12.22222222,29.3.2007,13
Partly Cloudy,12.2,29.3.2007,14
Mostly Cloudy,12.23333333,29.3.2007,15
Mostly Cloudy,12.12777778,29.3.2007,16
Mostly Cloudy,9.972222222,29.3.2007,17
Mostly Cloudy,9.966666667,29.3.2007,18
Mostly Cloudy,8.794444444,29.3.2007,19
Mostly Cloudy,8.838888889,29.3.2007,20
Mostly Cloudy,7.805555556,29.3.2007,21
Clear,4.516666667,2.3.2007,23
Mostly Cloudy,6.605555556,3.3.2007,0
Clear,2.761111111,3.3.2007,1
Clear,3.272222222,3.3.2007,2
Clear,2.744444444,3.3.2007,3
Partly Cloudy,1.161111111,3.3.2007,4
Clear,0.122222222,3.3.2007,5
Clear,1.338888889,3.3.2007,6
Partly Cloudy,3.855555556,3.3.2007,7
Mostly Cloudy,8.711111111,3.3.2007,8
Mostly Cloudy,9.844444444,3.3.2007,9
Mostly Cloudy,12.17777778,3.3.2007,10
Breezy and Mostly Cloudy,12.2,3.3.2007,11
Mostly Cloudy,12.11111111,3.3.2007,12
Overcast,11.01666667,3.3.2007,13
Overcast,9.972222222,3.3.2007,14
Overcast,9.022222222,3.3.2007,15
Overcast,7.822222222,3.3.2007,16
Overcast,7.8,3.3.2007,17
Overcast,7.827777778,3.3.2007,18
Overcast,7.822222222,3.3.2007,19
Overcast,8.283333333,3.3.2007,20
Overcast,7.888888889,3.3.2007,21
Mostly Cloudy,7.733333333,3.3.2007,22
Mostly Cloudy,7.294444444,29.3.2007,22
Mostly Cloudy,6.716666667,29.3.2007,23
Partly Cloudy,5.927777778,30.3.2007,0
Mostly Cloudy,6.205555556,30.3.2007,1
Mostly Cloudy,6.666666667,30.3.2007,2
Overcast,6.655555556,30.3.2007,3
Overcast,6.161111111,30.3.2007,4
Overcast,7.155555556,30.3.2007,5
Overcast,7.105555556,30.3.2007,6
Overcast,7.777777778,30.3.2007,7
Overcast,8.838888889,30.3.2007,8
Overcast,9.161111111,30.3.2007,9
Overcast,10.18333333,30.3.2007,10
Mostly Cloudy,12.24444444,30.3.2007,11
Mostly Cloudy,12.26111111,30.3.2007,12
Mostly Cloudy,12.84444444,30.3.2007,13
Mostly Cloudy,12.84444444,30.3.2007,14
Mostly Cloudy,12.97777778,30.3.2007,15
Overcast,12.82222222,30.3.2007,16
Overcast,10.08888889,30.3.2007,17
Partly Cloudy,9.183333333,30.3.2007,18
Partly Cloudy,7.827777778,30.3.2007,19
Overcast,8.288888889,30.3.2007,20
Mostly Cloudy,8.222222222,30.3.2007,21
Mostly Cloudy,7.616666667,30.3.2007,22
Mostly Cloudy,7.666666667,30.3.2007,23
Clear,5.238888889,31.3.2007,0
Partly Cloudy,4.005555556,31.3.2007,1
Partly Cloudy,3.405555556,31.3.2007,2
Partly Cloudy,3.1,31.3.2007,3
Partly Cloudy,2.872222222,31.3.2007,4
Partly Cloudy,2.388888889,31.3.2007,5
Partly Cloudy,6.777777778,31.3.2007,6
Clear,8.938888889,31.3.2007,7
Clear,12.17777778,31.3.2007,8
Clear,12.68333333,31.3.2007,9
Clear,13.96111111,31.3.2007,10
Partly Cloudy,15.05,31.3.2007,11
Partly Cloudy,16.02222222,31.3.2007,12
Partly Cloudy,16.16111111,31.3.2007,13
Partly Cloudy,16.20555556,31.3.2007,14
Partly Cloudy,16.08333333,31.3.2007,15
Partly Cloudy,15.04444444,31.3.2007,16
Partly Cloudy,12.86666667,31.3.2007,17
Partly Cloudy,11.48888889,31.3.2007,18
Partly Cloudy,8.972222222,31.3.2007,19
Partly Cloudy,7.911111111,31.3.2007,20
Partly Cloudy,7.933333333,31.3.2007,21
Mostly Cloudy,7.266666667,3.3.2007,23
Partly Cloudy,1.788888889,4.3.2007,0
Partly Cloudy,7.827777778,4.3.2007,1
Mostly Cloudy,8.311111111,4.3.2007,2
Mostly Cloudy,8.305555556,4.3.2007,3
Mostly Cloudy,7.755555556,4.3.2007,4
Breezy and Partly Cloudy,7.755555556,4.3.2007,5
Breezy and Mostly Cloudy,7.727777778,4.3.2007,6
Windy and Partly Cloudy,7.777777778,4.3.2007,7
Windy and Partly Cloudy,8.816666667,4.3.2007,8
Breezy and Mostly Cloudy,9.883333333,4.3.2007,9
Windy and Partly Cloudy,9.927777778,4.3.2007,10
Breezy and Mostly Cloudy,8.983333333,4.3.2007,11
Breezy and Partly Cloudy,9.833333333,4.3.2007,12
Mostly Cloudy,10.07222222,4.3.2007,13
Partly Cloudy,10.0,4.3.2007,14
Partly Cloudy,9.855555556,4.3.2007,15
Partly Cloudy,8.911111111,4.3.2007,16
Partly Cloudy,7.266666667,4.3.2007,17
Partly Cloudy,6.255555556,4.3.2007,18
Partly Cloudy,3.933333333,4.3.2007,19
Partly Cloudy,3.772222222,4.3.2007,20
Partly Cloudy,1.966666667,4.3.2007,21
Clear,1.622222222,4.3.2007,22
Clear,0.972222222,4.3.2007,23
Partly Cloudy,1.494444444,5.3.2007,0
Clear,-0.211111111,5.3.2007,1
Clear,-1.733333333,5.3.2007,2
Partly Cloudy,-1.016666667,5.3.2007,3
Clear,-1.655555556,5.3.2007,4
Foggy,-2.244444444,5.3.2007,5
Foggy,-1.094444444,5.3.2007,6
Partly Cloudy,1.111111111,5.3.2007,7
Partly Cloudy,7.083333333,5.3.2007,8
Partly Cloudy,7.727777778,5.3.2007,9
Mostly Cloudy,9.977777778,5.3.2007,10
Mostly Cloudy,11.08888889,5.3.2007,11
Mostly Cloudy,11.05,5.3.2007,12
Mostly Cloudy,11.20555556,5.3.2007,13
Mostly Cloudy,11.20555556,5.3.2007,14
Partly Cloudy,11.05,5.3.2007,15
Clear,8.938888889,5.3.2007,16
Partly Cloudy,6.183333333,5.3.2007,17
Clear,6.15,5.3.2007,18
Clear,5.488888889,5.3.2007,19
Clear,5.3,5.3.2007,20
Clear,4.2,5.3.2007,21
Clear,4.716666667,5.3.2007,22
Clear,5.527777778,5.3.2007,23
Partly Cloudy,5.761111111,6.3.2007,0
Mostly Cloudy,2.127777778,6.3.2007,1
Mostly Cloudy,1.283333333,6.3.2007,2
Mostly Cloudy,0.622222222,6.3.2007,3
Mostly Cloudy,0.077777778,6.3.2007,4
Overcast,-0.9,6.3.2007,5
Partly Cloudy,1.233333333,6.3.2007,6
Partly Cloudy,7.6,6.3.2007,7
Clear,9.9,6.3.2007,8
Partly Cloudy,10.94444444,6.3.2007,9
Clear,12.77777778,6.3.2007,10
Partly Cloudy,12.82777778,6.3.2007,11
Partly Cloudy,13.88888889,6.3.2007,12
Partly Cloudy,14.97777778,6.3.2007,13
Partly Cloudy,15.02222222,6.3.2007,14
Clear,14.13333333,6.3.2007,15
Clear,12.25,6.3.2007,16
Partly Cloudy,11.06666667,6.3.2007,17
Partly Cloudy,9.166666667,6.3.2007,18
Clear,8.8,6.3.2007,19
Clear,8.311111111,6.3.2007,20
Clear,8.188888889,6.3.2007,21
Clear,7.172222222,6.3.2007,22
Clear,7.661111111,6.3.2007,23
Mostly Cloudy,8.838888889,7.3.2007,0
Partly Cloudy,6.061111111,7.3.2007,1
Partly Cloudy,5.444444444,7.3.2007,2
Partly Cloudy,4.472222222,7.3.2007,3
Partly Cloudy,3.894444444,7.3.2007,4
Partly Cloudy,3.866666667,7.3.2007,5
Partly Cloudy,4.988888889,7.3.2007,6
Clear,7.777777778,7.3.2007,7
Mostly Cloudy,11.11111111,7.3.2007,8
Mostly Cloudy,12.74444444,7.3.2007,9
Mostly Cloudy,13.98333333,7.3.2007,10
Mostly Cloudy,16.13333333,7.3.2007,11
Partly Cloudy,16.25555556,7.3.2007,12
Clear,17.77777778,7.3.2007,13
Clear,16.95555556,7.3.2007,14
Clear,17.22222222,7.3.2007,15
Partly Cloudy,13.97777778,7.3.2007,16
Mostly Cloudy,12.82222222,7.3.2007,17
Mostly Cloudy,11.20555556,7.3.2007,18
Mostly Cloudy,11.08888889,7.3.2007,19
Partly Cloudy,10.07222222,7.3.2007,20
Mostly Cloudy,9.594444444,7.3.2007,21
Mostly Cloudy,10.05,7.3.2007,22
Mostly Cloudy,10.55555556,7.3.2007,23
Overcast,7.311111111,8.3.2007,0
Overcast,9.927777778,8.3.2007,1
Overcast,9.444444444,8.3.2007,2
Mostly Cloudy,8.805555556,8.3.2007,3
Overcast,7.827777778,8.3.2007,4
Partly Cloudy,6.227777778,8.3.2007,5
Clear,7.288888889,8.3.2007,6
Mostly Cloudy,8.916666667,8.3.2007,7
Mostly Cloudy,10.02777778,8.3.2007,8
Mostly Cloudy,11.22222222,8.3.2007,9
Mostly Cloudy,12.80555556,8.3.2007,10
Mostly Cloudy,13.96111111,8.3.2007,11
Mostly Cloudy,13.91111111,8.3.2007,12
Overcast,15.99444444,8.3.2007,13
Mostly Cloudy,15.04444444,8.3.2007,14
Overcast,14.91666667,8.3.2007,15
Clear,12.82777778,8.3.2007,16
Mostly Cloudy,11.13333333,8.3.2007,17
Overcast,10.10555556,8.3.2007,18
Mostly Cloudy,8.883333333,8.3.2007,19
Mostly Cloudy,8.305555556,8.3.2007,20
Mostly Cloudy,7.505555556,8.3.2007,21
Overcast,7.294444444,8.3.2007,22
Overcast,7.783333333,8.3.2007,23
Overcast,7.95,9.3.2007,0
Mostly Cloudy,5.744444444,9.3.2007,1
Mostly Cloudy,5.255555556,9.3.2007,2
Mostly Cloudy,5.855555556,9.3.2007,3
Mostly Cloudy,4.211111111,9.3.2007,4
Clear,4.188888889,9.3.2007,5
Clear,4.55,9.3.2007,6
Clear,7.266666667,9.3.2007,7
Overcast,7.872222222,9.3.2007,8
Overcast,9.938888889,9.3.2007,9
Mostly Cloudy,11.02222222,9.3.2007,10
Mostly Cloudy,12.57222222,9.3.2007,11
Mostly Cloudy,12.65,9.3.2007,12
Mostly Cloudy,12.75,9.3.2007,13
Mostly Cloudy,12.52777778,9.3.2007,14
Clear,12.12222222,9.3.2007,15
Clear,10.95555556,9.3.2007,16
Clear,9.933333333,9.3.2007,17
Clear,9.027777778,9.3.2007,18
Mostly Cloudy,8.866666667,9.3.2007,19
Overcast,8.844444444,9.3.2007,20
Overcast,8.85,9.3.2007,21
Overcast,8.266666667,9.3.2007,22
Partly Cloudy,7.405555556,30.4.2007,22
Partly Cloudy,6.761111111,30.4.2007,23
Partly Cloudy,5.861111111,1.5.2007,0
Partly Cloudy,6.411111111,1.5.2007,1
Partly Cloudy,5.327777778,1.5.2007,2
Partly Cloudy,4.816666667,1.5.2007,3
Partly Cloudy,3.8,1.5.2007,4
Partly Cloudy,8.688888889,1.5.2007,5
Partly Cloudy,9.55,1.5.2007,6
Partly Cloudy,12.75555556,1.5.2007,7
Partly Cloudy,14.95,1.5.2007,8
Partly Cloudy,16.11111111,1.5.2007,9
Partly Cloudy,16.22777778,1.5.2007,10
Partly Cloudy,17.15,1.5.2007,11
Partly Cloudy,17.41666667,1.5.2007,12
Partly Cloudy,17.28888889,1.5.2007,13
Partly Cloudy,17.21111111,1.5.2007,14
Partly Cloudy,16.37222222,1.5.2007,15
Partly Cloudy,14.06666667,1.5.2007,16
Partly Cloudy,12.42222222,1.5.2007,17
Partly Cloudy,11.34444444,1.5.2007,18
Partly Cloudy,9.394444444,1.5.2007,19
Partly Cloudy,7.755555556,1.5.2007,20
Partly Cloudy,6.727777778,1.5.2007,21
Partly Cloudy,10.60555556,9.5.2007,22
Mostly Cloudy,11.13888889,9.5.2007,23
Clear,12.33888889,10.5.2007,0
Mostly Cloudy,10.62777778,10.5.2007,1
Mostly Cloudy,11.13888889,10.5.2007,2
Mostly Cloudy,11.37222222,10.5.2007,3
Partly Cloudy,12.17777778,10.5.2007,4
Partly Cloudy,12.25,10.5.2007,5
Partly Cloudy,12.98333333,10.5.2007,6
Mostly Cloudy,14.98333333,10.5.2007,7
Mostly Cloudy,17.17777778,10.5.2007,8
Mostly Cloudy,17.93888889,10.5.2007,9
Mostly Cloudy,19.99444444,10.5.2007,10
Mostly Cloudy,21.10555556,10.5.2007,11
Partly Cloudy,21.2,10.5.2007,12
Partly Cloudy,22.26666667,10.5.2007,13
Partly Cloudy,22.31111111,10.5.2007,14
Partly Cloudy,22.32222222,10.5.2007,15
Mostly Cloudy,21.31111111,10.5.2007,16
Mostly Cloudy,19.21111111,10.5.2007,17
Mostly Cloudy,17.79444444,10.5.2007,18
Partly Cloudy,16.18333333,10.5.2007,19
Partly Cloudy,14.51111111,10.5.2007,20
Partly Cloudy,13.96666667,10.5.2007,21
Partly Cloudy,12.89444444,10.5.2007,22
Clear,12.89444444,10.5.2007,23
Partly Cloudy,15.41111111,11.5.2007,0
Partly Cloudy,11.73888889,11.5.2007,1
Partly Cloudy,10.69444444,11.5.2007,2
Partly Cloudy,10.88888889,11.5.2007,3
Partly Cloudy,12.2,11.5.2007,4
Partly Cloudy,13.84444444,11.5.2007,5
Partly Cloudy,17.30555556,11.5.2007,6
Partly Cloudy,17.98888889,11.5.2007,7
Partly Cloudy,22.31666667,11.5.2007,8
Partly Cloudy,23.86666667,11.5.2007,9
Clear,24.56111111,11.5.2007,10
Partly Cloudy,26.20555556,11.5.2007,11
Partly Cloudy,27.16666667,11.5.2007,12
Partly Cloudy,27.40555556,11.5.2007,13
Partly Cloudy,27.33333333,11.5.2007,14
Partly Cloudy,26.4,11.5.2007,15
Partly Cloudy,25.25,11.5.2007,16
Partly Cloudy,24.16111111,11.5.2007,17
Partly Cloudy,22.12777778,11.5.2007,18
Partly Cloudy,19.11666667,11.5.2007,19
Partly Cloudy,18.07222222,11.5.2007,20
Partly Cloudy,18.02222222,11.5.2007,21
Partly Cloudy,17.43333333,11.5.2007,22
Partly Cloudy,16.41666667,11.5.2007,23
Partly Cloudy,12.17777778,12.5.2007,0
Partly Cloudy,15.20555556,12.5.2007,1
Mostly Cloudy,15.18333333,12.5.2007,2
Mostly Cloudy,13.97222222,12.5.2007,3
Mostly Cloudy,15.16111111,12.5.2007,4
Mostly Cloudy,15.67222222,12.5.2007,5
Mostly Cloudy,17.35,12.5.2007,6
Mostly Cloudy,18.76666667,12.5.2007,7
Mostly Cloudy,19.76666667,12.5.2007,8
Mostly Cloudy,19.02777778,12.5.2007,9
Mostly Cloudy,19.81111111,12.5.2007,10
Partly Cloudy,19.78888889,12.5.2007,11
Mostly Cloudy,19.17222222,12.5.2007,12
Partly Cloudy,20.11666667,12.5.2007,13
Mostly Cloudy,21.16111111,12.5.2007,14
Mostly Cloudy,22.10555556,12.5.2007,15
Mostly Cloudy,22.17777778,12.5.2007,16
Mostly Cloudy,21.11111111,12.5.2007,17
Mostly Cloudy,17.73333333,12.5.2007,18
Mostly Cloudy,13.97777778,12.5.2007,19
Partly Cloudy,13.93333333,12.5.2007,20
Partly Cloudy,13.59444444,12.5.2007,21
Partly Cloudy,11.71111111,12.5.2007,22
Partly Cloudy,10.6,12.5.2007,23
Clear,14.53333333,13.5.2007,0
Partly Cloudy,10.53333333,13.5.2007,1
Partly Cloudy,10.53333333,13.5.2007,2
Partly Cloudy,9.905555556,13.5.2007,3
Clear,11.07222222,13.5.2007,4
Clear,14.89444444,13.5.2007,5
Partly Cloudy,19.68333333,13.5.2007,6
Partly Cloudy,21.13888889,13.5.2007,7
Partly Cloudy,22.8,13.5.2007,8
Partly Cloudy,24.01666667,13.5.2007,9
Clear,25.11666667,13.5.2007,10
Partly Cloudy,26.20555556,13.5.2007,11
Partly Cloudy,26.32222222,13.5.2007,12
Partly Cloudy,26.3,13.5.2007,13
Clear,27.28888889,13.5.2007,14
Clear,27.37777778,13.5.2007,15
Clear,26.25,13.5.2007,16
Clear,24.06666667,13.5.2007,17
Partly Cloudy,21.65,13.5.2007,18
Partly Cloudy,20.02222222,13.5.2007,19
Partly Cloudy,20.34444444,13.5.2007,20
Clear,19.8,13.5.2007,21
Clear,19.21666667,13.5.2007,22
Clear,16.03888889,13.5.2007,23
Clear,15.71111111,14.5.2007,0
Clear,14.32777778,14.5.2007,1
Partly Cloudy,14.28333333,14.5.2007,2
Mostly Cloudy,14.45,14.5.2007,3
Partly Cloudy,14.45,14.5.2007,4
Partly Cloudy,17.13333333,14.5.2007,5
Partly Cloudy,20.0,14.5.2007,6
Partly Cloudy,21.33888889,14.5.2007,7
Partly Cloudy,24.14444444,14.5.2007,8
Partly Cloudy,26.25,14.5.2007,9
Partly Cloudy,27.40555556,14.5.2007,10
Partly Cloudy,28.00555556,14.5.2007,11
Partly Cloudy,28.18333333,14.5.2007,12
Partly Cloudy,28.05555556,14.5.2007,13
Partly Cloudy,28.05555556,14.5.2007,14
Partly Cloudy,28.25555556,14.5.2007,15
Partly Cloudy,27.47222222,14.5.2007,16
Partly Cloudy,25.29444444,14.5.2007,17
Partly Cloudy,23.01111111,14.5.2007,18
Partly Cloudy,20.36666667,14.5.2007,19
Clear,19.18888889,14.5.2007,20
Clear,19.90555556,14.5.2007,21
Clear,18.31111111,14.5.2007,22
Clear,16.69444444,14.5.2007,23
Mostly Cloudy,15.25,15.5.2007,0
Partly Cloudy,17.62222222,15.5.2007,1
Clear,17.57777778,15.5.2007,2
Partly Cloudy,14.76111111,15.5.2007,3
Partly Cloudy,17.53333333,15.5.2007,4
Partly Cloudy,19.8,15.5.2007,5
Partly Cloudy,21.30555556,15.5.2007,6
Partly Cloudy,24.02777778,15.5.2007,7
Partly Cloudy,26.22777778,15.5.2007,8
Partly Cloudy,27.3,15.5.2007,9
Partly Cloudy,28.93333333,15.5.2007,10
Mostly Cloudy,28.96111111,15.5.2007,11
Mostly Cloudy,29.07222222,15.5.2007,12
Mostly Cloudy,29.07222222,15.5.2007,13
Mostly Cloudy,29.07222222,15.5.2007,14
Mostly Cloudy,29.14444444,15.5.2007,15
Mostly Cloudy,26.99444444,15.5.2007,16
Windy and Partly Cloudy,17.73333333,15.5.2007,17
Partly Cloudy,17.42222222,15.5.2007,18
Mostly Cloudy,16.04444444,15.5.2007,19
Overcast,15.02777778,15.5.2007,20
Mostly Cloudy,15.22777778,15.5.2007,21
Mostly Cloudy,14.44444444,15.5.2007,22
Mostly Cloudy,14.97777778,15.5.2007,23
Clear,11.40555556,16.5.2007,0
Mostly Cloudy,14.30555556,16.5.2007,1
Mostly Cloudy,13.75,16.5.2007,2
Mostly Cloudy,12.85,16.5.2007,3
Partly Cloudy,12.2,16.5.2007,4
