brand,category,material,delivery_days,inventory,cost,discount_percentage,price
Ordinaer,Table,Fabric,8,8,132.37,27.1,
LesComfe,Desk,Wood,3,189,337.69,30.0,483.45
Krude,Sofa,Wood,6,93,36.18,29.6,63.79
Ordinaer,Bed,Metal,6,148,274.95,26.5,608.06
Krude,Desk,Wood,4,164,56.54,11.8,69.42
Krude,Desk,Plastic,5,138,358.01,20.6,451.01
Furneyz,Bed,Wood,2,19,187.93,12.5,359.33
Krude,Desk,Fabric,8,34,253.42,19.5,496.83
Ordinaer,Desk,Glass,7,52,69.53,9.3,83.21
Krude,Bed,Metal,6,174,150.98,18.2,374.04
Ordinaer,Chair,Plastic,7,109,379.94,15.7,486.19
Furneyz,Table,Glass,1,179,253.46,0.7,285.39
Furneyz,Sofa,Plastic,5,135,224.95,23.7,383.21
LesComfe,Table,Metal,7,3,215.67,0.4,363.09
Furneyz,Chair,Fabric,1,154,199.04,8.8,254.54
Furneyz,Chair,Metal,2,171,274.85,0.2,
Ordinaer,Desk,Plastic,9,167,224.87,11.3,312.94
LesComfe,Table,Plastic,3,101,403.96,1.9,455.52
Furneyz,Chair,Metal,6,46,36.68,27.4,70.45
Krude,Table,Wood,7,93,123.84,12.5,176.43
LesComfe,Chair,Metal,9,171,376.12,13.8,477.69
Furneyz,Sofa,Fabric,5,47,380.8,10.5,518.21
LesComfe,Chair,Metal,4,90,145.81,18.8,255.05
Furneyz,Table,Glass,2,179,269.83,23.5,329.06
Ordinaer,Desk,Wood,3,83,126.06,19.4,174.82
LesComfe,Table,Glass,5,67,88.69,22.4,134.65
LesComfe,Bed,Metal,2,138,142.96,27.2,323.33
Furneyz,Table,Wood,4,124,176.85,25.9,209.01
LesComfe,Sofa,Glass,1,72,175.99,20.2,359.54
Furneyz,Sofa,Glass,4,3,53.02,6.4,97.73
Krude,Sofa,Wood,7,75,300.91,19.1,561.75
LesComfe,Chair,Wood,3,72,419.02,15.2,493.79
LesComfe,Sofa,Plastic,8,76,280.08,21.5,418.8
Ordinaer,Table,Wood,6,47,238.43,25.0,291.24
Ordinaer,Desk,Metal,6,153,113.61,22.3,189.29
LesComfe,Sofa,Fabric,1,101,312.13,25.4,478.64
Ordinaer,Table,Plastic,5,105,260.97,1.9,358.13
LesComfe,Chair,Wood,3,76,102.62,0.9,123.18
Furneyz,Chair,Fabric,1,38,396.65,7.8,459.92
LesComfe,Desk,Plastic,8,57,212.11,27.0,420.14
LesComfe,Desk,Metal,7,18,367.42,24.7,477.41
Krude,Table,Fabric,7,87,196.09,20.5,
Ordinaer,Desk,Wood,4,112,234.6,21.0,
Ordinaer,Desk,Wood,6,76,146.51,21.8,238.21
Krude,Chair,Metal,9,76,292.5,28.3,469.73
Furneyz,Table,Plastic,3,185,281.95,25.0,439.73
Furneyz,Desk,Fabric,9,27,52.66,18.7,
Furneyz,Table,Metal,4,65,39.2,20.0,61.87
Krude,Sofa,Plastic,5,9,174.01,6.4,252.32
LesComfe,Chair,Glass,7,125,274.49,19.7,414.75
Furneyz,Chair,Glass,6,57,260.65,12.7,
Furneyz,Chair,Plastic,8,141,95.74,4.6,117.69
Krude,Bed,Wood,8,124,194.95,24.2,396.7
Ordinaer,Table,Wood,8,111,149.03,15.3,221.4
Krude,Sofa,Glass,3,83,376.61,29.3,559.43
Ordinaer,Desk,Wood,6,142,271.52,8.5,428.95
Furneyz,Sofa,Wood,7,95,223.29,14.4,491.34
Furneyz,Table,Plastic,9,32,169.48,13.4,
LesComfe,Chair,Plastic,4,144,207.74,3.6,236.67
LesComfe,Bed,Wood,5,151,130.93,12.8,216.29
Ordinaer,Table,Plastic,8,157,57.93,8.6,75.37
Furneyz,Table,Fabric,1,189,330.62,4.8,439.13
Furneyz,Desk,Glass,6,140,241.0,8.5,415.81
Krude,Sofa,Fabric,4,189,333.58,7.0,574.85
Furneyz,Sofa,Fabric,5,46,398.98,22.0,573.26
Furneyz,Desk,Wood,5,111,162.13,0.9,299.94
Krude,Bed,Wood,2,143,242.04,18.5,495.06
Krude,Chair,Fabric,8,193,290.09,22.8,475.14
Furneyz,Chair,Fabric,2,42,290.88,14.4,432.34
LesComfe,Bed,Metal,4,7,143.91,27.9,201.63
LesComfe,Desk,Metal,5,2,133.2,21.2,
Furneyz,Table,Glass,1,124,76.49,22.4,108.12
LesComfe,Sofa,Fabric,6,11,274.05,5.9,551.22
Krude,Table,Plastic,2,83,286.71,23.3,322.78
LesComfe,Sofa,Metal,5,15,83.37,25.0,175.82
Furneyz,Table,Wood,6,77,233.0,10.8,352.27
LesComfe,Desk,Fabric,8,58,260.94,6.4,328.16
Furneyz,Desk,Plastic,9,176,165.1,11.6,211.17
LesComfe,Bed,Plastic,6,62,67.65,22.2,
Furneyz,Table,Plastic,5,189,224.92,12.5,352.21
Furneyz,Table,Wood,4,48,187.26,22.1,284.14
LesComfe,Bed,Metal,2,50,240.8,3.4,496.93
LesComfe,Bed,Plastic,2,32,165.37,24.2,355.09
Krude,Desk,Metal,7,29,300.5,7.6,433.48
Ordinaer,Desk,Glass,5,186,181.23,7.5,298.36
Furneyz,Table,Wood,7,75,185.98,17.7,302.42
Furneyz,Desk,Metal,1,14,339.02,2.1,444.49
Furneyz,Desk,Metal,1,81,205.5,0.8,231.57
Furneyz,Table,Plastic,5,91,81.79,7.8,110.31
LesComfe,Bed,Plastic,2,22,33.41,16.1,78.69
LesComfe,Table,Wood,8,93,206.69,27.2,389.81
Ordinaer,Chair,Metal,3,44,289.83,25.4,329.14
Furneyz,Table,Fabric,1,61,227.04,14.7,366.84
Ordinaer,Chair,Plastic,2,198,78.29,1.1,145.83
Krude,Table,Plastic,7,14,82.37,16.1,111.37
Ordinaer,Chair,Glass,6,45,42.38,21.1,56.55
Ordinaer,Chair,Wood,8,63,157.78,10.2,207.76
Krude,Table,Metal,7,173,191.47,3.3,315.46
Krude,Desk,Metal,8,183,114.62,8.4,226.51
Ordinaer,Sofa,Metal,3,171,218.72,23.1,283.89
Krude,Desk,Plastic,6,74,274.29,10.5,456.87
Ordinaer,Chair,Wood,7,156,159.26,24.4,206.71
LesComfe,Table,Metal,1,189,220.16,9.6,281.3
LesComfe,Table,Fabric,1,51,299.57,4.9,402.64
Ordinaer,Table,Glass,7,181,142.81,13.1,228.44
Krude,Table,Glass,3,87,200.75,13.6,329.94
Krude,Sofa,Metal,3,56,323.76,0.5,503.77
LesComfe,Bed,Plastic,5,82,403.99,3.5,596.61
LesComfe,Chair,Glass,6,65,102.09,5.5,
Krude,Sofa,Glass,2,149,253.26,3.4,537.01
Krude,Desk,Glass,3,19,152.54,10.2,271.45
Krude,Bed,Glass,6,32,145.91,28.9,207.76
Krude,Bed,Metal,3,71,203.91,15.3,
Ordinaer,Table,Wood,5,24,418.93,18.8,491.01
Krude,Sofa,Wood,9,45,157.86,10.7,312.43
LesComfe,Desk,Plastic,3,72,145.49,9.7,197.94
LesComfe,Table,Fabric,6,97,261.48,0.7,335.03
Furneyz,Table,Wood,5,56,122.03,15.0,158.07
Krude,Chair,Fabric,5,86,55.81,14.5,
Ordinaer,Bed,Wood,6,132,54.66,4.7,134.99
Furneyz,Desk,Wood,6,54,78.9,22.9,107.62
Furneyz,Bed,Plastic,1,60,71.16,14.8,
Ordinaer,Sofa,Glass,9,88,76.49,10.2,129.34
Furneyz,Chair,Plastic,5,7,298.81,4.4,
Furneyz,Table,Wood,1,15,86.97,16.6,131.85
LesComfe,Chair,Glass,8,175,171.82,22.6,
Furneyz,Table,Glass,7,115,260.98,8.5,453.55
Ordinaer,Chair,Glass,7,60,202.46,6.6,263.28
Krude,Table,Fabric,5,14,312.14,15.7,350.4
Krude,Bed,Wood,1,192,68.97,4.7,159.43
Krude,Bed,Metal,9,149,68.72,20.0,170.66
LesComfe,Bed,Plastic,9,130,46.06,18.2,
LesComfe,Bed,Fabric,8,101,67.68,2.6,157.53
LesComfe,Chair,Plastic,5,53,140.18,1.1,175.37
Ordinaer,Table,Metal,3,13,112.26,18.6,129.65
Krude,Bed,Glass,8,35,60.57,8.8,112.4
Ordinaer,Chair,Metal,1,104,62.94,2.6,
Ordinaer,Table,Plastic,3,81,173.39,22.8,257.35
Furneyz,Chair,Metal,7,66,112.76,9.4,142.85
Krude,Bed,Wood,4,9,107.74,13.8,267.4
Furneyz,Sofa,Metal,7,48,203.47,7.1,318.02
LesComfe,Chair,Wood,5,110,268.82,18.8,360.68
LesComfe,Bed,Metal,6,64,51.11,9.0,84.61
Ordinaer,Desk,Wood,7,56,244.53,29.0,409.73
Ordinaer,Table,Wood,7,26,261.26,21.1,332.56
Furneyz,Bed,Metal,7,112,46.57,4.1,108.49
Furneyz,Desk,Fabric,7,132,256.87,12.5,443.11
Ordinaer,Chair,Glass,7,70,395.19,11.6,
Krude,Chair,Glass,3,82,61.64,16.0,77.49
Ordinaer,Desk,Glass,3,56,88.26,25.3,
Krude,Desk,Wood,7,119,247.41,17.5,412.79
Furneyz,Table,Glass,2,92,226.52,1.8,386.72
LesComfe,Chair,Wood,2,14,80.93,19.7,
LesComfe,Desk,Fabric,3,110,86.38,0.2,144.21
Furneyz,Sofa,Metal,4,100,113.78,23.4,249.22
Furneyz,Sofa,Metal,6,118,183.22,20.0,308.24
LesComfe,Desk,Wood,8,75,260.3,9.3,328.21
Krude,Table,Wood,7,157,160.43,8.8,216.01
Furneyz,Chair,Fabric,4,19,198.55,23.9,258.14
Krude,Sofa,Glass,2,164,205.72,23.5,444.32
Krude,Desk,Fabric,2,130,58.57,10.6,66.51
LesComfe,Desk,Metal,4,72,136.67,9.0,163.6
Krude,Bed,Metal,6,121,304.98,16.8,463.76
LesComfe,Desk,Glass,3,40,375.49,0.3,
Furneyz,Table,Metal,6,166,244.69,2.5,280.25
Ordinaer,Sofa,Wood,5,153,207.74,3.8,332.87
Ordinaer,Bed,Metal,5,129,56.98,5.6,122.78
Ordinaer,Sofa,Plastic,2,22,187.68,15.4,289.04
Ordinaer,Sofa,Glass,8,22,230.92,29.8,333.13
Ordinaer,Table,Glass,5,143,126.52,19.6,159.11
Ordinaer,Desk,Glass,2,8,121.28,1.8,171.16
Krude,Table,Plastic,7,12,115.91,15.8,219.78
Krude,Desk,Fabric,9,155,38.28,14.9,59.03
Ordinaer,Bed,Wood,9,154,169.26,4.3,243.67
Furneyz,Table,Glass,1,50,106.51,27.6,145.15
Furneyz,Table,Metal,7,63,141.19,13.2,197.37
Krude,Chair,Wood,9,51,63.12,29.8,103.89
Krude,Table,Metal,6,37,291.8,12.6,450.74
Ordinaer,Chair,Wood,1,99,272.13,18.2,317.12
Furneyz,Desk,Wood,2,192,272.59,3.1,355.6
LesComfe,Desk,Metal,4,145,330.16,13.6,405.13
Ordinaer,Desk,Metal,4,190,187.0,7.2,
Krude,Chair,Wood,2,50,67.02,25.1,89.11
Krude,Desk,Glass,8,136,174.83,23.5,291.7
Krude,Sofa,Metal,2,140,245.67,24.7,361.19
LesComfe,Table,Plastic,3,167,258.65,21.7,385.45
Furneyz,Chair,Plastic,4,54,165.36,25.0,244.25
Krude,Desk,Wood,9,108,81.6,6.0,107.41
Ordinaer,Sofa,Fabric,1,170,155.4,13.6,204.35
LesComfe,Table,Wood,8,43,112.16,20.8,213.39
Furneyz,Table,Wood,5,109,282.72,19.1,340.66
Ordinaer,Desk,Glass,7,195,189.31,21.5,306.85
Ordinaer,Sofa,Glass,8,160,142.45,6.7,241.78
LesComfe,Chair,Fabric,5,151,251.3,3.0,493.93
LesComfe,Desk,Fabric,8,163,200.15,27.5,322.6
LesComfe,Table,Fabric,8,127,109.89,16.8,156.75
Krude,Table,Fabric,9,104,50.05,4.6,
Furneyz,Table,Fabric,2,9,82.73,23.8,118.79
Krude,Desk,Wood,3,99,139.93,27.4,160.68
LesComfe,Bed,Wood,1,147,66.31,5.1,152.88
LesComfe,Bed,Plastic,4,108,107.94,24.5,167.44
LesComfe,Bed,Plastic,5,107,118.36,28.0,222.87
Krude,Sofa,Metal,1,139,97.56,28.2,147.22
Ordinaer,Desk,Wood,8,189,273.98,27.4,453.54
LesComfe,Table,Fabric,2,145,48.55,16.4,86.11
Krude,Sofa,Metal,1,93,161.37,10.7,
LesComfe,Bed,Glass,2,62,123.96,0.2,293.35
Krude,Chair,Wood,5,83,282.58,1.8,492.07
Furneyz,Sofa,Plastic,9,24,76.89,12.9,
Furneyz,Sofa,Wood,9,11,195.29,12.0,
Krude,Desk,Wood,2,148,401.48,5.5,486.26
LesComfe,Sofa,Wood,2,24,340.18,11.9,505.4
Krude,Desk,Wood,3,10,227.29,5.2,417.68
Furneyz,Chair,Glass,7,63,102.24,25.5,166.06
Krude,Table,Plastic,3,125,79.18,8.9,126.9
Furneyz,Table,Wood,1,49,210.53,18.0,350.89
Furneyz,Bed,Glass,6,189,330.56,15.1,585.27
Ordinaer,Bed,Metal,3,88,214.65,1.6,375.68
LesComfe,Chair,Wood,1,98,197.47,28.3,307.23
Krude,Table,Glass,4,115,112.9,15.8,175.99
LesComfe,Bed,Fabric,1,95,329.47,9.8,495.34
LesComfe,Sofa,Metal,1,176,109.44,4.7,154.3
Furneyz,Desk,Plastic,2,13,121.92,10.2,195.66
Furneyz,Bed,Wood,8,0,208.98,0.6,301.81
Krude,Chair,Wood,2,24,245.33,10.9,278.42
Krude,Table,Glass,2,186,100.33,15.9,159.08
Krude,Chair,Plastic,8,71,65.25,26.2,101.68
Furneyz,Desk,Fabric,6,68,228.08,20.6,324.78
Ordinaer,Desk,Metal,4,132,157.66,3.3,179.88
Krude,Chair,Plastic,3,104,264.99,4.4,311.56
Furneyz,Bed,Wood,1,146,64.63,12.8,149.33
Ordinaer,Bed,Glass,3,22,175.12,5.9,333.14
LesComfe,Table,Fabric,9,8,208.95,0.8,289.67
Furneyz,Table,Glass,5,117,51.42,24.2,73.32
Krude,Sofa,Metal,6,93,116.36,0.6,231.69
Krude,Sofa,Plastic,5,177,93.2,24.9,127.06
Ordinaer,Table,Glass,1,143,60.52,4.3,78.52
Ordinaer,Sofa,Glass,1,32,413.81,29.2,569.8
Furneyz,Chair,Wood,4,129,164.53,18.1,195.06
Ordinaer,Bed,Glass,3,13,331.28,22.0,518.05
Furneyz,Sofa,Fabric,8,0,111.21,3.3,
Ordinaer,Sofa,Plastic,7,89,265.45,25.9,410.18
LesComfe,Chair,Metal,7,185,221.2,25.2,392.1
Krude,Desk,Glass,8,88,244.72,19.6,318.04
Krude,Table,Fabric,7,143,149.91,15.1,262.21
LesComfe,Chair,Metal,2,89,182.99,21.6,235.33
Krude,Desk,Fabric,4,174,122.51,0.2,
Krude,Chair,Glass,6,171,256.16,17.8,468.29
Krude,Bed,Glass,3,13,239.91,25.4,529.72
Krude,Chair,Plastic,3,151,242.52,10.7,484.26
LesComfe,Chair,Wood,6,110,83.42,3.2,105.93
Furneyz,Bed,Fabric,1,182,300.45,12.6,473.61
Krude,Table,Wood,1,142,333.4,21.8,472.25
LesComfe,Desk,Wood,5,82,74.27,3.2,131.55
Krude,Sofa,Metal,1,71,42.63,6.2,91.91
LesComfe,Table,Metal,8,161,194.69,4.4,383.5
LesComfe,Chair,Fabric,2,129,174.71,23.9,308.51
Furneyz,Sofa,Wood,6,26,367.22,1.9,
Ordinaer,Bed,Plastic,5,73,67.36,20.6,141.12
Furneyz,Table,Wood,4,98,261.73,11.0,407.87
Furneyz,Desk,Metal,1,71,76.3,22.7,140.73
Krude,Table,Wood,3,22,72.82,28.9,123.65
LesComfe,Table,Glass,4,67,87.7,3.4,123.92
Ordinaer,Sofa,Glass,2,141,309.55,9.4,479.04
LesComfe,Bed,Plastic,2,190,208.95,24.3,436.67
Krude,Bed,Fabric,2,116,149.28,8.0,356.72
LesComfe,Table,Wood,1,105,138.81,6.5,211.47
Krude,Bed,Glass,2,92,264.03,24.8,555.93
Furneyz,Sofa,Fabric,6,64,133.2,29.6,260.59
Furneyz,Sofa,Glass,3,67,369.02,16.7,
Krude,Desk,Fabric,5,127,184.85,8.3,247.61
Furneyz,Bed,Fabric,1,62,158.73,12.0,274.53
LesComfe,Desk,Glass,8,112,172.05,5.1,258.21
Ordinaer,Chair,Metal,4,89,124.66,22.9,185.62
Ordinaer,Sofa,Fabric,9,80,276.82,23.2,
LesComfe,Table,Wood,4,102,215.06,26.3,276.22
Ordinaer,Sofa,Glass,2,191,120.64,0.8,177.67
LesComfe,Chair,Metal,3,159,258.64,16.9,454.81
Krude,Table,Glass,5,115,155.94,6.4,222.75
Ordinaer,Bed,Plastic,6,12,195.84,10.2,368.25
Krude,Bed,Wood,7,193,388.41,23.5,572.39
Krude,Sofa,Plastic,4,123,249.03,5.8,380.54
LesComfe,Table,Fabric,7,146,73.16,19.2,102.6
Ordinaer,Table,Fabric,3,151,258.29,19.6,472.92
Furneyz,Desk,Plastic,7,87,246.78,28.6,332.47
Furneyz,Chair,Plastic,4,10,109.76,23.3,200.71
Furneyz,Bed,Fabric,8,186,71.53,24.1,140.84
Furneyz,Sofa,Metal,9,14,226.93,15.9,468.41
LesComfe,Table,Wood,7,9,255.6,5.6,329.03
Krude,Bed,Glass,8,40,168.96,12.8,362.57
Ordinaer,Sofa,Plastic,8,154,297.01,16.5,520.09
LesComfe,Bed,Wood,2,187,347.49,20.4,506.09
Furneyz,Sofa,Glass,9,72,68.79,18.2,135.99
Ordinaer,Bed,Glass,6,51,133.79,11.8,
LesComfe,Desk,Plastic,4,127,108.05,8.0,161.82
Krude,Chair,Metal,5,27,195.18,5.0,384.78
Furneyz,Bed,Metal,5,64,53.18,20.8,81.36
Ordinaer,Chair,Wood,7,16,161.69,19.4,306.45
Ordinaer,Bed,Wood,9,94,271.13,20.6,491.38
Furneyz,Table,Fabric,7,171,321.97,11.2,444.54
Krude,Desk,Metal,9,137,153.23,7.9,
Furneyz,Desk,Wood,4,62,325.35,22.8,419.57
Krude,Chair,Fabric,4,174,60.0,23.2,99.78
Ordinaer,Table,Glass,6,37,217.17,13.7,430.9
Furneyz,Sofa,Wood,8,69,84.76,18.4,123.48
Krude,Desk,Fabric,9,103,163.41,11.2,228.78
Krude,Table,Metal,1,52,341.11,21.1,408.78
LesComfe,Table,Glass,1,171,97.32,25.1,117.46
Krude,Chair,Wood,8,118,128.25,20.6,153.16
Furneyz,Table,Metal,7,73,260.27,15.4,375.01
Furneyz,Table,Glass,9,53,236.92,13.8,374.02
Krude,Sofa,Plastic,3,19,276.44,19.3,389.29
Furneyz,Chair,Metal,5,78,246.54,20.4,362.28
Ordinaer,Chair,Plastic,3,30,168.7,16.8,294.23
Ordinaer,Table,Wood,5,134,137.5,18.7,163.31
Furneyz,Sofa,Fabric,1,57,175.35,2.9,236.4
Krude,Bed,Wood,4,104,90.43,28.6,164.65
Ordinaer,Desk,Metal,6,9,243.29,23.7,458.8
Krude,Chair,Plastic,2,9,204.75,11.2,312.53
Furneyz,Sofa,Plastic,7,38,189.24,16.9,264.94
LesComfe,Sofa,Glass,8,155,221.98,1.4,296.59
Ordinaer,Table,Wood,1,157,276.9,1.2,476.28
Furneyz,Desk,Wood,4,36,62.69,7.5,119.01
Ordinaer,Chair,Metal,4,118,267.03,20.7,313.8
Krude,Bed,Plastic,5,66,182.07,25.6,347.06
LesComfe,Table,Metal,4,42,233.04,16.8,325.15
LesComfe,Chair,Metal,9,51,51.59,16.0,
Furneyz,Chair,Plastic,7,100,233.01,12.1,442.46
Ordinaer,Sofa,Metal,2,55,356.47,4.8,539.87
LesComfe,Desk,Plastic,1,75,161.18,3.6,304.31
Ordinaer,Bed,Metal,9,67,236.34,22.8,454.37
Krude,Desk,Fabric,1,136,382.11,27.8,
Krude,Sofa,Metal,6,105,247.98,13.7,423.5
Furneyz,Bed,Metal,2,124,106.64,19.8,148.3
LesComfe,Bed,Fabric,4,91,223.84,27.4,386.66
LesComfe,Table,Wood,6,22,203.01,2.7,323.02
Ordinaer,Bed,Plastic,5,190,141.64,23.1,301.07
Krude,Chair,Glass,6,108,244.18,18.5,381.4
LesComfe,Desk,Fabric,3,60,305.34,18.0,470.47
Furneyz,Desk,Wood,5,167,246.08,8.8,466.51
Furneyz,Table,Metal,2,43,163.82,20.5,252.88
LesComfe,Bed,Wood,7,151,69.23,23.8,126.2
Furneyz,Sofa,Fabric,3,178,389.16,3.4,567.16
LesComfe,Chair,Metal,1,185,326.05,16.0,427.5
LesComfe,Table,Wood,8,160,83.13,3.0,106.1
LesComfe,Bed,Glass,8,15,233.74,26.2,580.47
LesComfe,Sofa,Plastic,3,21,259.16,15.2,507.67
Ordinaer,Bed,Plastic,7,56,216.77,24.2,354.35
LesComfe,Table,Fabric,9,61,219.23,11.0,316.07
Furneyz,Sofa,Metal,8,106,115.26,3.8,263.98
Krude,Sofa,Metal,3,70,61.34,1.2,85.84
Ordinaer,Sofa,Plastic,2,89,162.5,8.4,230.96
Krude,Sofa,Wood,7,71,295.86,7.3,472.98
Krude,Bed,Metal,7,69,27.43,16.8,65.11
Krude,Sofa,Glass,9,29,161.38,0.7,230.09
Krude,Bed,Glass,5,102,168.1,15.6,286.47
Krude,Sofa,Metal,4,150,237.19,11.8,335.6
Furneyz,Sofa,Metal,8,31,371.47,17.3,533.53
LesComfe,Table,Plastic,4,85,169.05,21.1,205.86
Furneyz,Bed,Fabric,4,56,145.78,19.0,257.66
Ordinaer,Bed,Plastic,2,108,212.37,29.5,477.34
Furneyz,Desk,Fabric,1,8,194.8,4.1,253.5
Ordinaer,Table,Glass,4,30,113.03,12.9,151.07
LesComfe,Bed,Fabric,7,70,202.09,12.7,317.0
Krude,Table,Plastic,9,136,64.4,12.5,113.39
LesComfe,Table,Metal,9,12,74.78,19.9,129.37
Furneyz,Table,Fabric,1,185,234.82,14.7,274.27
Furneyz,Chair,Plastic,5,130,190.81,15.5,238.52
LesComfe,Bed,Glass,7,34,398.56,13.0,577.1
LesComfe,Table,Fabric,7,20,171.2,29.8,
Furneyz,Chair,Glass,6,63,229.98,27.8,311.26
LesComfe,Chair,Glass,4,94,254.79,9.2,
Ordinaer,Sofa,Wood,3,179,47.82,3.3,64.28
Ordinaer,Sofa,Fabric,9,33,255.0,25.2,400.88
Furneyz,Bed,Plastic,4,120,97.97,29.9,162.65
Furneyz,Sofa,Fabric,8,162,271.44,8.8,554.85
LesComfe,Bed,Fabric,1,14,80.61,10.7,146.12
LesComfe,Chair,Glass,7,119,186.08,28.2,236.58
Krude,Chair,Glass,6,95,53.79,21.3,88.41
Ordinaer,Bed,Glass,1,5,289.63,8.9,623.24
Furneyz,Sofa,Glass,4,108,172.64,17.4,317.39
Furneyz,Sofa,Plastic,5,96,189.67,28.3,365.61
Furneyz,Bed,Metal,8,31,46.99,24.4,100.23
Furneyz,Desk,Wood,4,179,259.59,22.3,387.48
Krude,Sofa,Glass,3,82,124.69,22.1,166.13
Ordinaer,Table,Glass,2,155,319.17,5.3,454.12
Krude,Sofa,Wood,4,117,81.85,24.7,163.66
Ordinaer,Desk,Glass,4,191,72.09,8.3,135.81
Furneyz,Chair,Metal,5,78,51.73,27.9,
Ordinaer,Chair,Fabric,7,77,171.4,10.9,262.43
Furneyz,Chair,Wood,9,146,252.08,25.7,
Krude,Sofa,Plastic,2,106,60.78,8.0,91.5
Ordinaer,Chair,Wood,5,125,326.57,15.4,398.99
LesComfe,Desk,Metal,9,14,154.62,3.2,253.98
Ordinaer,Desk,Plastic,3,133,222.19,19.8,285.98
Furneyz,Sofa,Fabric,1,72,150.4,25.1,
LesComfe,Table,Glass,2,100,201.69,21.6,230.34
Furneyz,Sofa,Wood,6,97,227.75,15.7,347.11
LesComfe,Chair,Plastic,5,165,75.49,1.4,119.86
LesComfe,Sofa,Wood,1,25,80.15,28.0,151.65
Ordinaer,Desk,Fabric,1,91,252.34,21.2,437.8
Ordinaer,Sofa,Wood,4,124,370.07,22.4,547.11
LesComfe,Sofa,Plastic,4,178,128.07,23.8,250.69
LesComfe,Table,Metal,6,72,126.84,22.4,171.84
LesComfe,Desk,Plastic,6,122,205.87,13.2,339.8
Furneyz,Bed,Wood,6,52,178.91,22.0,292.41
Ordinaer,Bed,Fabric,1,183,50.73,18.8,76.78
Furneyz,Desk,Glass,9,186,97.56,25.6,120.27
Ordinaer,Bed,Glass,7,197,299.37,24.1,465.23
Krude,Chair,Fabric,7,77,199.28,1.2,346.52
Ordinaer,Chair,Fabric,2,185,116.85,1.0,149.89
LesComfe,Desk,Wood,2,87,99.68,3.1,153.98
LesComfe,Bed,Plastic,6,12,237.11,18.0,440.44
Ordinaer,Bed,Metal,7,42,30.17,26.2,73.59
LesComfe,Chair,Wood,3,75,58.48,3.6,96.85
LesComfe,Chair,Glass,4,50,210.5,13.5,409.96
Krude,Sofa,Glass,3,18,111.01,27.3,149.9
Krude,Table,Metal,7,148,205.33,24.4,343.74
Krude,Bed,Wood,7,121,113.63,15.6,196.48
Furneyz,Table,Metal,4,23,48.85,23.1,94.75
Krude,Table,Plastic,7,25,122.24,15.7,159.43
Krude,Bed,Metal,5,172,235.97,4.7,468.78
Krude,Chair,Plastic,1,155,373.79,3.7,435.06
Ordinaer,Sofa,Glass,4,119,362.28,5.7,487.14
LesComfe,Desk,Plastic,7,81,144.13,10.5,228.73
Ordinaer,Bed,Wood,2,99,301.68,27.9,438.3
Krude,Bed,Wood,2,156,127.8,24.0,177.8
Furneyz,Desk,Wood,1,16,151.02,13.0,181.92
Ordinaer,Table,Wood,2,67,379.88,14.8,453.35
Krude,Sofa,Fabric,8,43,33.49,8.0,64.23
Furneyz,Table,Plastic,8,60,64.65,21.1,88.48
Furneyz,Desk,Wood,8,122,75.64,24.1,
Furneyz,Desk,Metal,1,92,33.32,7.2,61.94
LesComfe,Sofa,Metal,1,195,118.42,1.3,151.39
Furneyz,Desk,Fabric,4,73,197.0,18.7,
Krude,Desk,Plastic,6,152,191.54,16.9,239.64
Ordinaer,Sofa,Plastic,8,66,371.6,12.1,519.46
Ordinaer,Bed,Plastic,2,110,352.33,19.3,522.31
Krude,Table,Fabric,3,1,183.24,16.5,203.82
LesComfe,Bed,Plastic,6,88,99.48,7.5,208.43
LesComfe,Bed,Plastic,4,176,114.0,11.9,276.08
Furneyz,Table,Wood,2,197,209.73,12.8,315.63
Krude,Bed,Plastic,7,25,94.19,26.4,
Furneyz,Sofa,Wood,4,199,168.4,28.8,380.5
Furneyz,Table,Wood,8,98,150.89,26.8,234.24
Krude,Chair,Plastic,8,26,242.76,21.6,
LesComfe,Bed,Metal,7,88,178.9,17.5,307.82
LesComfe,Desk,Glass,9,145,114.09,20.7,182.51
Ordinaer,Table,Metal,4,181,363.2,28.2,476.8
Krude,Chair,Plastic,7,0,233.34,7.5,393.62
Furneyz,Desk,Plastic,1,188,57.18,16.1,113.05
Krude,Chair,Metal,4,102,355.18,20.7,440.81
Furneyz,Bed,Plastic,2,130,201.87,20.4,336.68
Ordinaer,Desk,Wood,9,195,364.27,7.6,452.55
Ordinaer,Bed,Fabric,5,40,211.35,17.6,512.42
Ordinaer,Desk,Plastic,3,164,201.49,23.9,241.35
Ordinaer,Table,Plastic,4,50,44.95,14.3,60.11
Furneyz,Sofa,Metal,6,14,123.97,23.8,196.54
LesComfe,Sofa,Wood,1,7,220.26,10.8,337.8
Furneyz,Chair,Metal,7,37,283.39,28.2,335.07
Ordinaer,Desk,Metal,8,113,122.01,16.0,166.05
LesComfe,Bed,Plastic,7,82,82.55,17.9,140.89
Krude,Table,Wood,7,55,381.56,0.9,425.72
Furneyz,Table,Plastic,9,174,395.71,5.1,492.98
Krude,Table,Plastic,4,102,193.98,19.0,286.56
Ordinaer,Sofa,Plastic,7,137,99.64,12.6,146.34
Krude,Bed,Plastic,9,101,113.13,15.2,215.67
LesComfe,Table,Fabric,5,77,34.47,1.9,58.28
LesComfe,Table,Glass,2,176,340.88,25.0,461.43
